timestamp,host,tls_fingerprint,ssh_fingerprint
2025-12-08T04:37:40.867662,github.com,b8bb81876833873942045a8df8f06219e00602ebcb4384c7abc24f18379c87f5,b732d6f1c2f3972f568e56ea8254e106bd4942c013bf59be623e1829bf24078c
2025-12-08T04:37:40.922059,google.com,30d1ce982febe24a53221cbfbb4ebc2ccae1cecfb79d2026f9552a6bedadda83,N/A
2025-12-08T04:37:40.988138,example.com,455943cf819425761d1f950263ebf54755d8d684c25535943976f488bc79d23b,N/A
